Field=#~Integer~#~50|Field=Comment~String~Comment~99|Field=Description~String~Description~99|Field=Designator~String~Designator~99|Field=Footprint~String~Footprint~99|Field=LibRef~String~LibRef~99|Field=Quantity~Integer~Quantity~99|Field=Manufacturer~String~Manufacturer~99|Field=Manufacturer Part Number~String~Manufacturer Part Number~99|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Carte_Alim_2019.PrjPcb|ReportField=ProjectFullPath~N:\DOC\Audran\Goldorak\3-GIT\2-ELEC\2-PROJ\14-Carte_Alim_2019\Carte_Alim_2019.PrjPcb|ReportField=Title~Bill of Materials For Variant [PROD] of Project [Carte_Alim_2019.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~196|ReportField=ReportTime~08:15:06|ReportField=ReportDate~21/03/2019|ReportField=ReportDateTime~21/03/2019 08:15:06|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~PROD|ReportField=Address1~Electrolab|ReportField=Address2~52 rue Paul Lescop|ReportField=Address3~92000 Nanterre|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Audran|ReportField=CheckedBy~|ReportField=CompanyName~Goldorak|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~21/03/2019|ReportField=CurrentTime~08:13:58|ReportField=Date~|ReportField=DocumentFullPathAndName~N:\DOC\Audran\Goldorak\3-GIT\2-ELEC\2-PROJ\14-Carte_Alim_2019\Carte_Alim_2019_TOP.SchDoc|ReportField=DocumentName~Carte_Alim_2019_TOP.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~20/03/2019|ReportField=Organization~|ReportField=ProjectName~Carte_Alim_2019.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~5|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~Carte_Alim_2019.PrjPcb|ReportField=DataSourceFullPath~N:\DOC\Audran\Goldorak\3-GIT\2-ELEC\2-PROJ\14-Carte_Alim_2019\Carte_Alim_2019.PrjPcb
1|1uF|CAP CER 1uF 50V X7R 0805|C1, C23, C29, C30, C31, C35, C36, C37, C41, C42|WCAP-CSGP_0805, 2x1.25x1.25|WCAP-CSGP, 885012207103|10|Wurth Elektronik|885012207103
2|220 uF|CAP Alu 220 UF 20% 50 V|C2|WCAP-ATG8_10x12.5x5x0.6|WCAP-ATG8, 860010675018|1|Wurth Elektronik|860010675018
3|10 uF|CAP Alu 10 UF 20% 50 V|C3, C26, C27|WCAP-ATG8_5x11x2x0.5|WCAP-ATG8, 860010672009|3|Wurth Elektronik|860010672009
4|100nF|CAP CER 100nF 50V X7R 0603|C4, C11, C15, C19, C21, C22, C32, C33, C34, C38, C39, C40, C43, C44, C45, C46, C47, C48, C49, C50|WCAP-CSGP_0603, 1.6x0.8x0.8|WCAP-CSGP, 885012206095|20|Wurth Elektronik|885012206095
5|10 mF|CAP Alu 10'000 UF 25 V|C5|WCAP-ATG8_22x41x10x0.8|WCAP-ATG8, 860010483029|1|Wurth Elektronik|860010483029
6|330 uF|CAP Alu 330 UF 20% 35 V|C6, C7, C20|WCAP-ATG8_10x12.5x5x0.6|WCAP-ATG8, 860010575012|3|Wurth Elektronik|860010575012
7|220 uF|CAP Alu 220 UF 20% 35 V|C8, C12, C16|WCAP-ATG8_8x11.5x3.5x0.5|WCAP-ATG8, 860010574011|3|Wurth Elektronik|860010574011
8|470 uF|CAP Alu 470 UF 20% 16 V|C9, C10, C13, C14, C17, C18|WCAP-ATG8_8x11.5x3.5x0.5|WCAP-ATG8, 860010374012|6|Wurth Elektronik|860010374012
9|Vert|SMD mono-color Chip LED, WL-SMCW, Green|D1, D3, D5, D7, D10, D11|SMCW_0603|WL-SMCW 0603  150060GS75000|6||150060GS75000
10|RBR3MM40ATFTR|DIODE SCHOTTKY 40V 3A SOD123-FL|D2, D4, D6|SOD-123FL|RBR3MM40ATFTR|3|ROHM|RBR3MM40ATFTR
11|HTA5U100|DIODE SCHOTTKY 100V 5A SMA (DO-214AC)|D12|SMA Diode (DO-214AC)|HTA5U100|1|MULTICOMP|HTA5U100
12|TEN 60-2412WIN|Traco 12.0V 60W 5A|DC1|TEN 60|TEN 60-2412WIN|1|TRACOPOWER|TEN 60-2412WIN
