Altium Designer Pick and Place Locations
N:\DOC\Audran\GIT\ELEC\2-PROJ\18-Panel_2020\Project Outputs for Panel_2020\Pick Place\Pick Place for Panel_2020.csv

========================================================================================================================
File Design Information:

Date:       25/08/20
Time:       23:13
Revision:   383b71610d94a7fc4516842a2347a26e2c85e254
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Layer","Rotation","Comment"
"H3","Tooling_hole_JLCPCB","50.0000","188.0000","TopLayer","0","Comment"
"C151","WCAP-CSGP_0805,_2x1.25x1.25","98.5000","182.0000","TopLayer","270","1uF"
"C150","WCAP-CSGP_0805,_2x1.25x1.25","75.5000","182.0000","TopLayer","270","1uF"
"J152","61300811021","87.1000","188.0200","TopLayer","0","61300811021"
"U152","OPB620","69.2500","184.1500","TopLayer","270","OPB620"
"U151","SOT23_95P280X145-5N","60.5001","180.6501","TopLayer","180","SN74LVC1G17DBVR"
"U150","SOT89-150P350X160-3N","60.5498","184.6500","TopLayer","0","HT7533-1"
"R151","RESC1005X04N","64.7500","180.9000","TopLayer","180","RC0402FR-07100KL"
"R150","RESC1005X04N","64.7500","179.6500","TopLayer","0","RC0402FR-07330RL"
"J151","22-03-2041","55.0000","184.1500","TopLayer","90","22-03-2041"
"J150","22-03-2031","65.0000","185.4000","TopLayer","90","22-03-2031"
"C155","WCAP-CSGP_0402,_1x0.5x0.5","57.2500","180.1500","TopLayer","270","100nF"
"C154","WCAP-CSGP_0603,_1.6x0.8x0.8","57.2500","182.6500","TopLayer","90","4.7uF"
"C153","WCAP-CSGP_0805,_2x1.25x1.25","57.5000","185.6500","TopLayer","90","10uF"
"C152","WCAP-ATG8_6.3x11x2.5x0.5","59.7500","188.4000","TopLayer","0","220 uF"
"U152","OPB620","43.7500","179.2500","TopLayer","270","OPB620"
"U151","SOT23_95P280X145-5N","35.0001","175.7501","TopLayer","180","SN74LVC1G17DBVR"
"U150","SOT89-150P350X160-3N","35.0498","179.7500","TopLayer","0","HT7533-1"
"R151","RESC1005X04N","39.2500","176.0000","TopLayer","180","RC0402FR-07100KL"
