"Reference";"Value";"Qty";"DNP";"Mouser"
"BZ1";"Buzzer";"1";"";""
"C1,C3,C6,C8,C9,C10,C13,C16,C17,C18,C19,C20,C21,C25,C26,C27,C28,C29";"100nF";"18";"";""
"C2,C4,C12,C24";"10uF";"4";"";"81-GRM21BR61H106KE3L"
"C11,C22,C23";"220uF";"3";"";""
"C14,C15";"470uF";"2";"";""
"D1";"LED yellow";"1";"";"710-150060YS75000"
"D2,D6";"1N4148W";"2";"";"621-1N4148W-F"
"D3";"LED green";"1";"";"710-150060VS75000"
"D5,D7,D9,D10";"WS2812B";"4";"";""
"D8";"LED red";"1";"";""
"J1,J11,J12,J13,J14,J20";"Conn_01x03";"6";"";""
"J2";"Conn_01x08";"1";"";""
"J3,J17,J18,J19";"Conn_01x02";"4";"";""
"J4";"65100516121";"1";"";"710-65100516121"
"J6";"Conn_01x06";"1";"";""
"J8,J9,J10,J16";"Conn_01x04";"4";"";""
"JP1,JP6";"ID1";"2";"";""
"JP2,JP4";"MS2";"2";"";""
"JP3,JP5";"MS1";"2";"";""
"JP7";"ID2";"1";"";""
"Q1,Q2";"G2302";"2";"";"621-DMG2302UK-7"
"R1,R8,R9,R19";"1k";"4";"";""
"R4,R15";"68";"2";"";"603-RC0603FR-1068RL"
"R5,R10,R11,R12,R13,R14,R16,R18,R20,R21,R22,R23,R24,R25,R26";"10k";"15";"";""
"R27";"31.6k";"1";"";"603-AC0603FR-0731K6L"
"SW1";"SW_DPST_x2";"1";"";""
"SW5,SW6,SW7";"SW_Push";"3";"";"710-430133050816"
"U2";"Adafruit BNO085";"1";"";""
"U3";"ESP32-S3-WROOM-1-N16R8";"1";"";""
"U4,U5";"TMC2226";"2";"";""
